donor,region,roi,other_immune,epithelial,unknown,PP cell,beta cell,macrophage,cd8_t,cd4_t,b_cell,mdsc,fibroblast,alpha cell,endothelial,acinar
HPAP-026,Tail of pancreas,ROI2,51.0,924.0,0.0,0.0,34.0,667.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
HPAP-026,Tail of pancreas,ROI3,251.0,584.0,96.0,11.0,0.0,328.0,31.0,20.0,26.0,1.0,0.0,0.0,64.0,0.0
HPAP-027,Body of pancreas,ROI1,302.0,722.0,522.0,0.0,151.0,364.0,48.0,9.0,59.0,74.0,0.0,0.0,0.0,0.0
HPAP-027,Body of pancreas,ROI2,240.0,242.0,221.0,0.0,0.0,116.0,29.0,4.0,71.0,3.0,0.0,0.0,0.0,0.0
HPAP-027,Body of pancreas,ROI3,603.0,647.0,272.0,0.0,114.0,132.0,31.0,5.0,47.0,29.0,0.0,0.0,142.0,0.0
HPAP-027,Head of pancreas,ROI1,9.0,0.0,248.0,0.0,0.0,405.0,219.0,4.0,2.0,0.0,0.0,0.0,93.0,0.0
HPAP-027,Head of pancreas,ROI2,84.0,190.0,0.0,0.0,78.0,111.0,286.0,14.0,17.0,31.0,179.0,0.0,0.0,0.0
HPAP-027,Head of pancreas,ROI3,178.0,320.0,282.0,0.0,102.0,158.0,252.0,55.0,29.0,61.0,0.0,0.0,0.0,0.0
HPAP-034,Body of pancreas,ROI1,446.0,1047.0,231.0,674.0,0.0,17.0,8.0,1.0,0.0,60.0,0.0,0.0,116.0,0.0
HPAP-034,Body of pancreas,ROI2,1133.0,1601.0,549.0,0.0,0.0,38.0,23.0,12.0,0.0,227.0,0.0,0.0,272.0,0.0
HPAP-034,Body of pancreas,ROI3,271.0,1759.0,746.0,0.0,0.0,30.0,18.0,4.0,0.0,78.0,761.0,0.0,0.0,0.0
HPAP-034,Head of pancreas,ROI1,768.0,850.0,426.0,0.0,0.0,26.0,16.0,9.0,1.0,604.0,0.0,357.0,0.0,0.0
HPAP-034,Head of pancreas,ROI2,953.0,435.0,655.0,0.0,0.0,47.0,15.0,10.0,0.0,1269.0,0.0,0.0,221.0,0.0
HPAP-034,Head of pancreas,ROI3,493.0,461.0,634.0,504.0,0.0,34.0,13.0,6.0,1.0,1472.0,0.0,0.0,187.0,0.0
HPAP-034,Tail of pancreas,ROI1,178.0,188.0,235.0,0.0,0.0,39.0,6.0,9.0,0.0,488.0,129.0,0.0,0.0,0.0
HPAP-034,Tail of pancreas,ROI2,1023.0,492.0,719.0,0.0,0.0,123.0,22.0,8.0,0.0,732.0,385.0,0.0,67.0,0.0
HPAP-034,Tail of pancreas,ROI3,443.0,597.0,351.0,0.0,0.0,48.0,11.0,9.0,0.0,506.0,276.0,0.0,0.0,0.0
HPAP-034,Tail of pancreas,ROI4,338.0,648.0,151.0,0.0,0.0,52.0,13.0,7.0,0.0,355.0,0.0,0.0,56.0,0.0
HPAP-035,Body of pancreas,ROI1,828.0,506.0,619.0,0.0,185.0,74.0,664.0,291.0,47.0,480.0,0.0,0.0,387.0,0.0
HPAP-035,Body of pancreas,ROI2,92.0,856.0,817.0,0.0,362.0,158.0,774.0,75.0,7.0,27.0,609.0,0.0,0.0,0.0
HPAP-035,Body of pancreas,ROI3,798.0,892.0,550.0,0.0,130.0,12.0,178.0,52.0,168.0,284.0,609.0,0.0,364.0,0.0
HPAP-035,Head of pancreas,ROI1,871.0,1873.0,509.0,0.0,234.0,83.0,79.0,79.0,143.0,205.0,0.0,0.0,0.0,0.0
HPAP-035,Head of pancreas,ROI2,1126.0,1885.0,229.0,0.0,217.0,18.0,105.0,41.0,318.0,225.0,0.0,0.0,297.0,0.0
HPAP-035,Head of pancreas,ROI3,987.0,1150.0,0.0,0.0,268.0,63.0,80.0,14.0,206.0,120.0,512.0,0.0,843.0,0.0
HPAP-035,Tail of pancreas,ROI1,125.0,166.0,0.0,0.0,270.0,41.0,24.0,25.0,3.0,0.0,119.0,0.0,0.0,0.0
HPAP-035,Tail of pancreas,ROI2,50.0,497.0,0.0,0.0,275.0,21.0,24.0,30.0,2.0,0.0,0.0,112.0,212.0,0.0
HPAP-035,Tail of pancreas,ROI3,220.0,357.0,0.0,0.0,306.0,45.0,24.0,21.0,2.0,0.0,38.0,199.0,74.0,0.0
HPAP-036,Body of pancreas,ROI1,857.0,921.0,1081.0,0.0,157.0,179.0,49.0,38.0,200.0,49.0,277.0,0.0,0.0,0.0
